?qid	?name
Q108946248	"Rebecca Frankel"@cs
Q109136214	"Ada Pecos Melton"@en
Q109211689	"Cat Zakrzewski"@de
Q109236479	"Steven Cliff"@en
Q109302294	"Dave Smith"@en
Q109363072	"John Vlach"@ast
Q1094348	"David G. Dalin"@ca
Q1094716	"Claiborne Pell"@ast
Q109472121	"Cmdr. David Fravor"@nl
Q1094733	"Clair Burgener"@ast
Q10949678	"Janice Rogers Brown"@ang
Q109557910	"Maurice Zeitlin"@ca
Q109560948	"Sheila Cherfilus-McCormick"@ast
Q1095680	"Clark Blaise"@ast
Q109570	"Peter A. Daimond"@sk
Q109584620	"Paul D. Goldenheim"@ca
Q109606504	"Joseph T. Rannazzisi"@ast
Q109609798	"Carol Brown"@en
Q109635200	"Joel M. Zinberg"@de
Q109651279	"Carole Hooven"@en
Q109679824	"Kristin Henning"@de
Q1096809	"Claude Harris"@yo
Q109829413	"Albert Foer"@ast
Q10985702	"Linda Dorcena Forry"@ast
Q1100451	"Cleo Fields"@ast
Q1100609	"Matt Lauer"@ast
Q1100647	"Clete Donald Johnson"@de
Q1100710	"Cey İnsli"@crh
Q1100946	"Ann Romney"@ast
Q110124318	"Stephen Sweeney"@en
Q1101388	"Clifton R. Wharton"@ca
Q110146400	"Emily Jashinsky"@de
Q110146525	"Veronique de Rugy"@de
Q110154	"Corc Takei"@az
Q110226467	"Michael Fanone"@en
Q110249897	"Nancy Abudu"@ast
Q110281358	"Aaron Klieman"@en
Q1103701	"Clyde Prestowitz"@de
Q110434665	"Wesley Hunt"@ast
Q110436	"Cory Doctorow"@ast
Q110510347	"Richard Bailey"@en
Q110526331	"Matt Sedillo"@ast
Q110559480	"Steve Owens"@en
Q110569091	"Renee Knake Jefferson"@de
Q110607276	"Rachelle Horowitz"@en
Q110624752	"Angela Sailor"@en
Q110628905	"Theodore Ruger"@dag
Q110659991	"Omar J. Marrero"@ast
Q110702348	"Danielle Holley-Walker"@de
Q110815967	"Harriet Hageman"@ast
Q110876156	"Mike Tidwell"@en
Q1108983	"Colleen Barrett"@ast
Q110911567	"Barbara Rosewicz"@de
Q110929772	"Jill Louise Busby"@ast
Q110936736	"Marilyn W. Thompson"@en
Q110940327	"James David Ford"@de
Q110949448	"Peter Schrag"@cs
Q110964781	"Karen Johnson-Weiner"@dag
Q110984889	"Dennis V. McGinn"@de
Q110989675	"Mekala Audain"@en
Q110996829	"Martin Kimani"@ast
Q110998785	"Elizabeth Taylor"@en
Q11100	"Deval Patrick"@af
Q1110029	"Louis Freeh"@ast
Q111003451	"Nancy H. Nielsen"@ast
Q11101017	"Lionel"@ast
Q111032977	"Warren F. Kimball"@en
Q111038820	"William D. Pederson"@en
Q111049190	"Brandice Canes-Wrone"@de
Q11105	"Elena Kagan"@an
Q11107	"Sonia Sotomayor"@an
Q111076809	"James H. Johnson"@cs
Q11109	"John Paul Stevens"@an
Q11112119	"Mia Love"@ast
Q111145663	"Paul Coates"@ast
Q111159803	"Brad Finstad"@ast
Q11116	"Ruth Bader Ginsburg"@an
Q111173334	"Palwasha Hassan"@ast
Q111196562	"David G. Hawkins"@en
Q111209186	"Rachel Skerritt"@de
Q11124	"Stephen Breyer"@an
Q111240	"Džeimss Lovels"@lv
Q1112656	"Peter Welch"@ast
Q111272520	"Adam Entous"@de
Q11132	"Sandra Day O'Connor"@an
Q111321312	"Roger Fairfax"@en
Q1113332	"Andreas Lih"@la
Q111342078	"John W. Mina"@de
Q111351661	"Alice Albright"@ast
Q111351935	"Marcia Kunstel"@ca
Q111367312	"Margaret Engel"@de
Q11138	"Samuel A. Alito, Jr."@io
Q11142	"Clarence Thomas"@af
Q111423256	"Beth Van Schaack"@cs
Q111424493	"Suzanne DiMaggio"@en
Q111446963	"Neil Kinkopf"@dag
Q111448638	"Guy-Uriel Charles"@dag
Q111464606	"Susan Tsui Grundmann"@en
Q111487034	"Kamal Abdulfattah"@bg
Q111487046	"Carol Bergman"@de
Q111487065	"Lorna Hahn"@de
Q11153	"Con Roberts"@az
Q111535080	"Omar Fadhil Al-Nidawi"@en
Q111536	"William Julius Wilson"@af
Q1115522	"Edward Ross Roybal"@en
Q11156	"Antonin Scalia"@af
Q111623114	"Andy Ogles"@ast
Q111692858	"Andrew Manuel Crespo"@en
Q111698563	"Michael D. Ramsey"@en
Q111698721	"Kate Andrias"@en
Q11171	"Anthony Kennedy"@an
Q111723958	"Jerry Lindauer"@en
Q111748040	"Massee McKinley"@en
Q111749776	"Siobhan Hughes"@de
Q111768124	"Richard Gatchell Jr."@en
Q111785162	"Julie Young"@en
Q111788517	"Leslie Alan Glick"@cs
Q1118577	"Max Sandlin"@ast
Q111888036	"Charles Beaudrot"@en
Q111961602	"Iacobus Pillen"@la
Q111963443	"Von Todd"@en
Q111976793	"John R. Bucher"@de
Q111976876	"Carla Power"@en
Q112043398	"Fredrick C. Harris"@en
Q112046130	"Frederick A. Buechner"@en
Q112073778	"Debra Steidel Wall"@de
Q112075661	"Jody Vallejo"@en
Q1120801	"Randall Kennedy"@ca
Q112114272	"Ira Shapiro"@fr
Q112117255	"Donald L. Scott"@ast
Q112117429	"Mark Sweeney"@de
Q112144799	"Natalie Andrews"@de
Q1121617	"Leroy Aarons"@es
Q112189243	"Anthony Quiroz"@ast
Q112189281	"Stephen E. Strang"@en
Q112225711	"Michael A. Millemann"@ast
Q1122303	"Claire Berlinski"@ast
Q112256979	"Amber Payne"@en
Q1122828	"Mick Staton"@ast
Q112284	"Charles Duke"@af
Q112307947	"Matthew Rothschild"@de
Q112312070	"Frank Rusciano"@de
Q112328706	"Gwynn Guilford"@de
Q112357617	"John T. O'Connor"@cs
Q112371381	"Mary H. Manhein"@de
Q11238816	"William Green Miller"@ast
Q11239	"David Rockefeller"@af
Q1124	"bil. klinton"@jbo
Q112444323	"Vincent Bzdek"@ast
Q112453464	"Donald F. Kettl"@cs
Q112466824	"Lisa Rudd"@en
Q112491369	"Thomas Terrill"@en
Q112508035	"Herman Belz"@ast
Q112524709	"Petr Davidovič Barenbojm"@cs
Q11253080	"Hal Bruno"@ast
Q112533849	"David W. Mills"@cs
Q112534	"Ed Zschau"@ast
Q11256	"Castro Fidel"@vro
Q112573908	"Elaine S. Povich"@de
Q112577890	"Mayra Flores"@de
Q112578942	"Phillip W. Magness"@de
Q112583752	"Nick Timiraos"@de
Q112620237	"Yuka Hayashi"@ast
Q112634100	"Coral Davenport"@de
Q112636817	"John Junker"@de
Q112660672	"Marilynn Malerba"@ast
Q112663811	"Jennifer Maloney"@de
Q112671130	"Alicia Caldwell"@de
Q1126725	"Conrad Burns"@ast
Q112680945	"Eliza Collins"@de
Q112779979	"Sarah Chaney Cambon"@de
Q112817302	"Rebecca Hall"@ca
Q112954539	"Louise Radnofsky"@ast
Q112954548	"Aruna Viswanatha"@de
Q112999597	"James Alex Baggett"@en
Q113005891	"Werner J. Dannhauser"@de
Q113032097	"Elizabeth Williamson"@de
Q1130414	"Sylvester James Gates"@ca
Q113053361	"Jillian Kay Melchior"@ast
Q113055843	"Melissa Korn"@de
Q113105	"James Gleick"@ast
Q11317219	"Daniel R. Russel"@ast
Q113289971	"Margaret Garb"@ast
Q113324518	"Timothy Kelly"@en
Q113360502	"Ellen Chesler"@ast
Q11336714	"Henry Richard Nau"@ast
Q113382855	"Tudor Dixon"@ast
Q1133864	"Thomas Bradley"@pl
Q113413961	"Colleen Joy Shogan"@ca
Q113467345	"Kristina Peterson"@en
Q113467391	"Janet Hook"@de
Q113467646	"Carol E. Lee"@de
Q113467675	"Victoria McGrane"@de
Q11351111	"Laurie Garrett"@ast
Q11352222	"Vladislav Martinovich Zubok"@it
Q113532921	"Stephanie Armour"@en
Q113539800	"Jennifer Corbett Dooren"@en
Q113541097	"Martin S. Flaherty"@de
Q1135767	"Cory Anthony Booker"@sl
Q1135774	"Cory Gardener"@ga
Q113587724	"Maxwell Frost"@ast
Q113588013	"Joe Sempolinski"@ast
Q113613762	"Kimberly Cheatle"@de
Q113666092	"Laura Landro"@de
Q113674535	"David Canon"@ast
Q113674667	"Evan D. Wolff"@en
Q113682258	"Shaw Livermore"@ast
Q113691666	"William Hogeland"@en
Q1137062	"Cek Ma"@az
Q113812780	"Zareena Grewal"@de
Q113822213	"Christina Ewig"@de
Q113831402	"Geoffrey C. Layman"@de
Q1138504	"Craig Anthony Washington"@de
Q1138576	"Craig L. Thomas"@bar
Q1138663	"Craig S. Morford"@ast
Q1138693	"Craig Unger"@ast
Q113870511	"Thomas L. Bock"@en
Q1138996	"Michael Pollan"@af
Q113955	"Virginia D. Smith"@bar
Q1139602	"Eli Broad"@ast
Q113990215	"Kelly Tshibaka"@ast
Q114022903	"Sarah Pearsall"@en
Q114033458	"Al Sturgeon"@ast
Q114040070	"Sarah Botstein"@en
Q114079994	"Jonathan Allen"@ast
Q114142	"Violeta Barrios"@en
Q114225183	"Stephen H. Browne"@en
Q114322	"Dana Perino"@ast
Q1143436	"Cullen Murphy"@ast
Q114368398	"Kristan Hawkins"@de
